DATOS ARTIFICIALES PARA TUSUARIO

INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('58066588', 'Rosa', 'Torres Flores', 'rosa.torres87@hotmail.com', '9373974919');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('89655687', 'Elena', 'Díaz Torres', 'elena.diaz88@hotmail.com', '9053414937');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('55419674', 'Laura', 'Torres Pérez', 'laura.torres15@hotmail.com', '9729943180');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('57319324', 'David', 'Torres Vargas', 'david.torres57@outlook.com', '9669873634');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('97226848', 'Carlos', 'Sánchez Romero', 'carlos.sanchez54@hotmail.com', '9652406933');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('27889724', 'Lucía', 'Romero Espinoza', 'lucia.romero61@outlook.com', '9744689851');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('91054121', 'Camila', 'Rodríguez Ramos', 'camila.rodriguez60@gmail.com', '9996247592');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('99962351', 'Laura', 'Rojas López', 'laura.rojas82@gmail.com', '9206452596');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('63900957', 'Gabriel', 'Flores Mendoza', 'gabriel.flores45@gmail.com', '9637379590');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('43125084', 'Gabriel', 'Chavez Díaz', 'gabriel.chavez30@gmail.com', '9190430801');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('57176486', 'Camila', 'Chavez Torres', 'camila.chavez87@gmail.com', '9150687778');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('93238766', 'David', 'Pérez Sánchez', 'david.perez33@outlook.com', '9833510833');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('38182136', 'Luis', 'Rodríguez Sánchez', 'luis.rodriguez10@gmail.com', '9495587590');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('98296175', 'Laura', 'García Mendoza', 'laura.garcia96@outlook.com', '9807157433');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('91984036', 'Ana', 'Flores Vargas', 'ana.flores22@outlook.com', '9932380148');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('54252985', 'Juan', 'Gómez Ramos', 'juan.gomez88@hotmail.com', '9361660863');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('06012042', 'Elena', 'Chavez Vargas', 'elena.chavez18@hotmail.com', '9664811175');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('11270131', 'Elena', 'Mendoza Rojas', 'elena.mendoza38@outlook.com', '9020303782');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('83187865', 'María', 'Díaz López', 'maria.diaz67@hotmail.com', '9428655777');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('57704787', 'Jorge', 'Mendoza Rojas', 'jorge.mendoza76@outlook.com', '9443714177');

DATOS ARTIFICIALES PARA TPERSONAL

INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('10234567', 'Carlos Alberto', 'Gómez Quispe', 'Supervisor', '987654321', 'Av. De la Cultura 1420, Cusco');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('20456789', 'Ana María', 'Mendoza Condori', 'Soporte Técnico', '912345678', 'Jr. Los Claveles H-12, San Jerónimo');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('30567890', 'Luis Fernando', 'Mamani Huamán', 'Técnico de Campo', '934567890', 'Urb. Progreso Av. Perú 405, Wanchaq');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('40678901', 'Diana Carolina', 'Paredes Cárdenas', 'Administrador', '956789012', 'Calle Matará 312, Centro Histórico');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('50789012', 'Jorge Luis', 'Ccahuana Tupa', 'Operador de Radio', '978901234', 'Psje. Santa Rosa Escalera 4, San Blas');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('60890123', 'Sofía Beatriz', 'Vargas Gutiérrez', 'Soporte Técnico', '990123456', 'Av. El Sol 802, Of. 301');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('70901234', 'Miguel Ángel', 'Yábar Palomino', 'Técnico de Campo', '923456789', 'Urb. Larapa Cl. Los Cedros M-2');

DATOS ARTIFICIALES PARA TEVENTO

INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (10, NULL, 'Reporte de bache en la vía principal.', 'incendio', 'upload//evento_1.jpg', POINT(-13.54013, -71.87655), 'Pendiente', '2026-08-19 08:51:05', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (15, NULL, 'Luminaria pública parpadeando o apagada.', 'persona_sospechosa', 'upload//evento_2.jpg', POINT(-13.53856, -71.87478), 'Pendiente', '2026-08-12 12:40:59', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (20, 1, 'Ruidos molestos en horario no permitido.', 'otro', 'upload//evento_3.jpg', POINT(-13.53893, -71.88448), 'Finalizado', '2026-08-06 18:21:24', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (11, 4, 'Luminaria pública parpadeando o apagada.', 'accidente', 'upload//evento_4.jpg', POINT(-13.53954, -71.88087), 'En proceso', '2026-08-26 13:42:32', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (16, 6, 'Reporte de bache en la vía principal.', 'robo', 'upload//evento_5.jpg', POINT(-13.54420, -71.87890), 'En proceso', '2026-08-07 20:19:36', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (20, 5, 'Mantenimiento preventivo solicitado para parque local.', 'emergencia_medica', 'upload//evento_6.jpg', POINT(-13.53375, -71.87208), 'Finalizado', '2026-08-19 09:35:48', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (19, 4, 'Acumulación de residuos sólidos en la esquina.', 'otro', 'upload//evento_7.jpg', POINT(-13.54806, -71.87241), 'Finalizado', '2026-08-12 16:48:03', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (18, 1, 'Luminaria pública parpadeando o apagada.', 'incendio', 'upload//evento_8.jpg', POINT(-13.53827, -71.88067), 'En proceso', '2026-08-26 12:36:56', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (8, NULL, 'Señal de tránsito dañada o caída.', 'accidente', 'upload//evento_9.jpg', POINT(-13.54671, -71.87301), 'Pendiente', '2026-08-07 14:16:06', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (18, NULL, 'Mantenimiento preventivo solicitado para parque local.', 'robo', 'upload//evento_10.jpg', POINT(-13.53405, -71.88058), 'Pendiente', '2026-08-09 15:08:01', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (14, 1, 'Señal de tránsito dañada o caída.', 'persona_sospechosa', 'upload//evento_11.jpg', POINT(-13.53449, -71.87242), 'Finalizado', '2026-08-16 08:23:51', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (16, NULL, 'Señal de tránsito dañada o caída.', 'otro', 'upload//evento_12.jpg', POINT(-13.53909, -71.87679), 'Pendiente', '2026-08-10 13:13:11', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (11, 4, 'Señal de tránsito dañada o caída.', 'emergencia_medica', 'upload//evento_13.jpg', POINT(-13.54167, -71.87151), 'Finalizado', '2026-08-19 13:31:42', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (3, 6, 'Mantenimiento preventivo solicitado para parque local.', 'incendio', 'upload//evento_14.jpg', POINT(-13.53853, -71.88190), 'En proceso', '2026-08-20 19:36:20', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (20, NULL, 'Mantenimiento preventivo solicitado para parque local.', 'robo', 'upload//evento_15.jpg', POINT(-13.53676, -71.87861), 'Pendiente', '2026-08-23 18:07:42', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (7, 2, 'Acumulación de residuos sólidos en la esquina.', 'accidente', 'upload//evento_16.jpg', POINT(-13.54543, -71.88097), 'Finalizado', '2026-08-26 14:30:19', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (7, NULL, 'Ruidos molestos en horario no permitido.', 'otro', 'upload//evento_17.jpg', POINT(-13.53790, -71.87994), 'Pendiente', '2026-08-17 13:35:54', FALSE);
